1. 귀하의 성별은 어떻게 되십니까?,2. 귀하의 연령은 어떻게 되십니까?,4. 추천 시스템에 입력했던 문구를 입력해 주세요.,5-1. (새로움) 이 추천 시스템은 새로운 음식점에 대한 호기심을 자극 시켰다.,5-2. (새로움) 이 추천 시스템은 내 성향에 맞는 새로운 음식점을 제공했다.,6-1. (정확성) 추천시스템은 음식점을 선택하는 나의 결정에 좋은 원천이 된다.,6-2 (정확성) 추천시스템은 내가 원하는 음식점 추천 결과를 제공 한다.,7-1. (사회적 실재감) 나는 추천 시스템을 사용하면서 인간적인 상호작용을 느꼈다.,7-2. (사회적 실재감) 나는 추천 시스템이 나에게 개인화 된 결과를 제공한다고 생각한다.,8-2. (자기 참조) 나에게 추천된 리스트가 나의 취향을 고려하여 제공했다고 생각 한다.,8-1. (자기 참조) 나는 추천 결과가 나와 연관이 있다고 생각 한다.,9-1. (만족도) 나는 경험한 추천시스템에 대해 매우 만족 한다.,"9-2. (만족도) 해당 추천 시스템은 매우 유용하여, 타인에게도 소개 할 만하다.",3. 귀하는 한달에 외식을 몇 회정도 하십니까?
여성,20대,바다 풍경이 예쁜 레스토랑,4,4,3,4,5,4,4,3,5,4,2~5회
남성,50대,부모님과 함께 하기 위한 맛집 추천,3,3,3,3,3,4,4,4,3,2,10회 이상
여성,30대,아이가 좋아하는 갈비 맛집,5,5,5,5,4,5,5,5,5,5,6~10회
남성,20대,국물이 시원한 해물탕,2,2,2,4,2,3,4,4,2,2,10회 이상
남성,30대,신선하고 가성비 좋은 횟집 추천,5,5,5,5,4,5,4,5,4,4,10회 이상
여성,60대,포장가능한 근처 낙지 맛집,4,4,4,4,4,4,4,4,5,5,2~5회
남성,20대,푸짐한 매운탕,3,3,3,3,3,3,4,4,4,3,2~5회
남성,40대,단체 모임하기 좋은 맛집 추천,3,3,3,4,3,4,4,4,4,4,6~10회
남성,30대,해물이 푸짐한 식당,5,5,5,5,5,3,4,3,4,4,10회 이상
여성,30대,특별한 날 기념하기 좋은 식당 추천,4,4,4,4,4,4,5,5,5,4,2~5회
여성,20대,드라이브맛집,5,5,3,3,2,3,3,3,2,2,2~5회
남성,50대,풍경좋은 맛집,5,5,2,2,4,4,4,4,4,4,1회 이하 혹은 전혀 하지 않음
여성,40대,가족과 함께 하는 맛집,5,4,4,5,5,4,5,5,5,5,2~5회
여성,30대,조용하고 아늑한 맛집,3,4,5,5,4,4,4,4,4,3,10회 이상
남성,60대,건강하게 먹기 좋은 맛집,5,4,5,4,4,5,5,5,5,5,2~5회
여성,20대,떡볶이가 맛있는 분식집,4,4,3,5,3,3,4,4,3,3,6~10회
여성,50대,이색 메뉴가 있는 곳,5,5,2,3,4,4,4,3,3,3,1회 이하 혹은 전혀 하지 않음
남성,30대,신선한 해물탕,5,5,4,5,4,5,5,5,4,3,10회 이상
여성,30대,정겹고 옛날 느낌 나는 맛집,4,4,5,4,4,4,5,5,4,4,2~5회
남성,70대 이상,인심좋고 양 많은 맛집,5,5,5,4,4,4,4,4,4,3,1회 이하 혹은 전혀 하지 않음
남성,20대,건강식 맛집,5,5,4,4,4,4,4,4,5,5,6~10회
여성,30대,골목맛집 투어 여행,5,3,4,4,4,4,5,4,5,5,2~5회
여성,50대,차타고 가기좋은 식당,4,5,3,4,5,5,5,5,4,4,2~5회
여성,20대,육즙가득 고기집,4,4,5,4,3,4,4,5,5,4,2~5회
남성,30대,날씨좋은 날 나들이 맛집,4,5,5,5,2,4,4,2,4,4,10회 이상
남성,30대,가벼운 맥주와 어울리는 맛집,5,5,4,5,4,4,4,5,5,4,6~10회
여성,40대,어버이날 부모님,5,5,5,4,4,4,4,4,4,5,2~5회
여성,20대,여름휴가때 가기좋은 식당,4,5,5,4,5,4,5,4,4,4,6~10회
여성,20대,더운여름 몸보신 메뉴,4,5,5,4,4,5,4,4,5,4,2~5회
남성,30대,인생 맛집,3,4,5,5,4,4,4,5,5,4,6~10회
남성,50대,가족과 함께 한식집 점심 나들이,4,4,4,4,4,4,4,4,4,4,2~5회
여성,40대,오랜만에 동창들과 고기집 회식,2,3,3,2,2,3,3,3,2,2,2~5회
여성,20대,연인과 가기 좋은 레스토랑,3,2,2,2,2,2,2,2,2,2,2~5회
남성,20대,맛집 혼밥 여행,3,3,3,4,3,4,3,3,4,3,1회 이하 혹은 전혀 하지 않음
여성,30대,유기농 아이 간식,2,3,3,3,3,2,2,2,2,2,2~5회
남성,20대,아주 매운 쭈꾸미,1,1,1,1,1,1,1,1,1,1,6~10회
남성,40대,날씨 추울 때 따뜻한 국물 요리,4,5,4,4,4,4,5,4,4,4,1회 이하 혹은 전혀 하지 않음
여성,30대,날씨 더울 때 시원한 면 요리,3,3,3,3,3,3,3,3,3,3,6~10회
여성,20대,일본식 덮밥,1,2,1,1,1,2,1,2,1,1,2~5회
여성,20대,간단하게 먹기 좋은 컵밥,2,2,2,2,2,2,2,2,2,2,1회 이하 혹은 전혀 하지 않음
남성,40대,골프 라운딩 후 꼭 가야하는 음식 추천,4,3,4,4,3,3,4,4,3,4,10회 이상
남성,40대,부모님 칠순 잔치 하기 좋은 곳,3,4,2,4,4,3,5,,4,5,2~5회
여성,20대,연인과 화해하기 좋은 식당 추천,4,5,5,5,5,4,3,4,4,5,2~5회
남성,30대,10년만의 동창회 모임하기 좋은 식당,2,4,3,4,2,4,3,4,3,3,10회 이상
여성,50대,직원들과 회식하기 좋은 식당,2,2,3,2,4,3,2,2,3,3,2~5회
여성,70대 이상,죽기 전에 꼭 가야하는 국내 한식집,2,1,1,2,3,1,1,2,1,2,1회 이하 혹은 전혀 하지 않음
여성,30대,콜키지가 필요없는 식당 추천,3,3,3,4,2,3,2,4,4,3,6~10회
남성,20대,반포 한강지구에서 꼭 시켜먹는 배달 맛집,3,5,5,3,4,3,3,3,4,3,2~5회
남성,50대,춘천 자전거 여행 시 꼭 들려야 하는 집,3,3,3,4,3,3,3,3,3,4,2~5회
여성,70대 이상,간장 게장 맛집 추천,2,2,2,2,1,2,2,2,3,2,1회 이하 혹은 전혀 하지 않음
